Train data: data/Train1.txt
Max epochs: 10000
Execution time: 8.077
Test data: data/Test1.txt
Network{LEARNING_RATE=0.5, nInputNodes=4, nHiddenLayers=2, hiddenLayersSizes=[]}
Real value: 4720.58 | Predicted value: 5069.561755461703
Real value: 4547.82 | Predicted value: 4515.2109895064805
Real value: 2110.13 | Predicted value: 2251.7910349986796
Real value: 2099.1 | Predicted value: 2242.5850677034823
Real value: 2983.61 | Predicted value: 2823.245250170341
Real value: 2928.11 | Predicted value: 2794.2090626813615
Real value: 2553.33 | Predicted value: 2508.7266593521435
Real value: 4071.73 | Predicted value: 4008.5913503752795
Real value: 2927.26 | Predicted value: 2791.827474074079
Real value: 1891.3 | Predicted value: 2142.6190188949986
Real value: 2261.61 | Predicted value: 2340.1658606805995
Real value: 1860.57 | Predicted value: 2102.1877400517596
Real value: 2864.24 | Predicted value: 2755.0847143389374
Real value: 5529.529999999999 | Predicted value: 5598.236253830179
Real value: 4422.22 | Predicted value: 4406.157548471603
Real value: 4555.88 | Predicted value: 4673.908193962216
Real value: 2792.27 | Predicted value: 2749.7347207876373
Real value: 4905.550000000001 | Predicted value: 4993.803303351569
Real value: 3347.5 | Predicted value: 3447.5053003228313
Real value: 4272.72 | Predicted value: 4360.381971776498
Real value: 4634.290000000001 | Predicted value: 4698.982381249215
Real value: 1826.08 | Predicted value: 2113.6278394123287
Real value: 2620.27 | Predicted value: 2571.676211883438
Real value: 2015.06 | Predicted value: 2202.1487537793846
Real value: 3401.42 | Predicted value: 3240.596984960342
Real value: 4701.279999999999 | Predicted value: 4792.293813552349
Real value: 2221.16 | Predicted value: 2273.351428302234
Real value: 1874.52 | Predicted value: 2135.2187803599936
Real value: 3854.35 | Predicted value: 3768.396816415995
Real value: 3177.33 | Predicted value: 3060.9390153918375
Real value: 2290.13 | Predicted value: 2357.3428431124166
Real value: 2810.69 | Predicted value: 2717.757398747792
Real value: 6831.87 | Predicted value: 6403.760854632117
Real value: 4584.379999999999 | Predicted value: 4736.829638499437
Real value: 6012.87 | Predicted value: 5969.214996529987
Real value: 4932.18 | Predicted value: 5029.996121143921
Real value: 3914.74 | Predicted value: 3889.3431721498428
Real value: 2055.25 | Predicted value: 2224.6803799926215
Real value: 5099.53 | Predicted value: 5111.1440793995935
Real value: 3372.41 | Predicted value: 3296.6715631698044
Real value: 3990.55 | Predicted value: 3989.43244351462
Real value: 3362.1399999999994 | Predicted value: 3240.797600353354
Real value: 4535.03 | Predicted value: 4551.611237463139
Real value: 3076.49 | Predicted value: 2869.618456904078
Real value: 4428.65 | Predicted value: 4563.782852849871
Real value: 1675.16 | Predicted value: 2047.3528142402624
Real value: 6604.63 | Predicted value: 6308.3137839100955
Real value: 2299.16 | Predicted value: 2317.10118764874
Real value: 3537.4 | Predicted value: 3456.021472558447
Real value: 3335.45 | Predicted value: 3192.3737669395687
Real value: 7255.22 | Predicted value: 6514.403919965337
Real value: 6601.37 | Predicted value: 6308.218149324243
Real value: 1957.51 | Predicted value: 2175.5584696005203
Real value: 3755.61 | Predicted value: 3897.153847999575
Real value: 4135.26 | Predicted value: 4100.505188647947
Real value: 5183.31 | Predicted value: 5216.925171362678
Real value: 2686.52 | Predicted value: 2621.817990756072
Real value: 5823.6 | Predicted value: 5835.051504076794
Real value: 3998.5 | Predicted value: 3977.7022139090473
Real value: 4029.4 | Predicted value: 4061.753166625115
Real value: 3737.94 | Predicted value: 3666.743113522907
Real value: 3012.15 | Predicted value: 2903.7092314503707
Real value: 2597.17 | Predicted value: 2544.8317976953595
Real value: 5374.17 | Predicted value: 5444.571401324829
Real value: 3934.4 | Predicted value: 3949.2109737526553
Real value: 2055.79 | Predicted value: 2216.00702507663
Real value: 2541.98 | Predicted value: 2484.351999010718
Real value: 4469.14 | Predicted value: 4468.552350857468
Real value: 2757.12 | Predicted value: 2664.222974575578
Real value: 7094.76 | Predicted value: 6489.079692263257
Real value: 2726.64 | Predicted value: 2643.9432114160927
Real value: 2359.34 | Predicted value: 2366.274003903166
Real value: 5518.44 | Predicted value: 5525.381022415668
Real value: 3927.28 | Predicted value: 3824.1922518781766
Real value: 2494.59 | Predicted value: 2472.6674272158193
Real value: 5707.359999999999 | Predicted value: 5806.72675423366
Real value: 1996.27 | Predicted value: 2193.7008637625586
Real value: 6913.55 | Predicted value: 6430.490022366415
Real value: 5213.25 | Predicted value: 5326.51389255333
Real value: 5044.97 | Predicted value: 5239.829594199475
Real value: 2637.73 | Predicted value: 2548.0018262575695
Real value: 5919.28 | Predicted value: 5904.444519859762
Real value: 5353.22 | Predicted value: 5416.506321574554
Real value: 4703.02 | Predicted value: 4838.092648641146
Real value: 3897.86 | Predicted value: 3907.417148086329
Real value: 1849.71 | Predicted value: 2143.809214157805
Real value: 6682.03 | Predicted value: 6342.81827291023
Real value: 2863.83 | Predicted value: 2803.348589224848
Real value: 5497.43 | Predicted value: 5625.641924380818
Real value: 4346.1900000000005 | Predicted value: 4376.424038436135
Real value: 2120.8 | Predicted value: 2250.1506121695525
Real value: 1851.07 | Predicted value: 2124.5077899765342
Real value: 3065.99 | Predicted value: 3117.560535087155
Real value: 5727.92 | Predicted value: 5814.347312732657
Real value: 4265.8 | Predicted value: 4364.87372018698
Real value: 3124.13 | Predicted value: 3010.0700802234305
Real value: 3422.18 | Predicted value: 3355.9390835406716
Real value: 4899.39 | Predicted value: 4958.873333419395
Real value: 5356.86 | Predicted value: 5484.4291424212115
Real value: 7261.37 | Predicted value: 6537.570813825172
Real value: 4147.68 | Predicted value: 4165.044465055466
Error rate: 2.4871372655577066
