Train data: data/Train3.txt
Max epochs: 10000
Execution time: 6.576
Test data: data/Test3.txt
Network{LEARNING_RATE=0.5, nInputNodes=4, nHiddenLayers=2, hiddenLayersSizes=[]}
Real value: 2754.26 | Predicted value: 2656.291560479841
Real value: 3366.4299999999994 | Predicted value: 3181.7029838188687
Real value: 6919.41 | Predicted value: 6514.2951951384575
Real value: 2846.31 | Predicted value: 2680.0718556288602
Real value: 2147.58 | Predicted value: 2242.739296164252
Real value: 3776.3099999999995 | Predicted value: 3673.0561009262265
Real value: 2935.76 | Predicted value: 2797.043970001476
Real value: 1994.79 | Predicted value: 2141.7706376974156
Real value: 3949.3599999999997 | Predicted value: 3861.084940814986
Real value: 5155.08 | Predicted value: 5348.719322623931
Real value: 3492.4400000000005 | Predicted value: 3374.7420255040324
Real value: 3585.5 | Predicted value: 3460.798834932366
Real value: 2491.94 | Predicted value: 2436.702840586267
Real value: 3890.6899999999996 | Predicted value: 3768.403579017351
Real value: 3887.5 | Predicted value: 3853.857059033885
Real value: 6180.17 | Predicted value: 6071.140319816485
Real value: 5187.13 | Predicted value: 5195.607293058123
Real value: 3196.23 | Predicted value: 3068.677446045668
Real value: 3156.0 | Predicted value: 3030.0590835738203
Real value: 2424.09 | Predicted value: 2401.247505053101
Real value: 3321.1900000000005 | Predicted value: 3173.3892003266874
Real value: 5263.200000000001 | Predicted value: 5442.660571117321
Real value: 2438.06 | Predicted value: 2413.5337772916196
Real value: 3657.27 | Predicted value: 3556.6051694951902
Real value: 1717.89 | Predicted value: 2045.006226646288
Real value: 3275.22 | Predicted value: 3121.636772175655
Real value: 1825.74 | Predicted value: 2071.116215969121
Real value: 2872.73 | Predicted value: 2718.905360767254
Real value: 2990.32 | Predicted value: 2858.0507094158174
Real value: 3464.56 | Predicted value: 3243.0145976255517
Real value: 2453.44 | Predicted value: 2400.7066170805015
Real value: 1962.86 | Predicted value: 2126.6435350735114
Real value: 5458.55 | Predicted value: 5489.839612456723
Real value: 3421.99 | Predicted value: 3260.3583635601435
Real value: 3114.68 | Predicted value: 2970.1863887951267
Real value: 2537.26 | Predicted value: 2455.8564938121317
Real value: 5426.81 | Predicted value: 5543.235468883019
Real value: 5867.76 | Predicted value: 5894.902954939283
Real value: 5545.11 | Predicted value: 5579.74228464087
Real value: 2871.29 | Predicted value: 2753.1000811927106
Real value: 4333.94 | Predicted value: 4230.547159211793
Real value: 5566.34 | Predicted value: 5692.7728886104
Real value: 3762.95 | Predicted value: 3660.8912140112743
Real value: 2316.5 | Predicted value: 2343.4376808813367
Real value: 3451.51 | Predicted value: 3325.7051689396403
Real value: 5841.71 | Predicted value: 5933.316178948146
Real value: 6355.79 | Predicted value: 6207.753180115967
Real value: 4379.76 | Predicted value: 4360.471956847961
Real value: 3818.88 | Predicted value: 3694.654622527056
Real value: 2498.69 | Predicted value: 2430.9387531060975
Real value: 3813.6899999999996 | Predicted value: 3707.31708629641
Real value: 6547.15 | Predicted value: 6326.0674700541485
Real value: 6106.92 | Predicted value: 6130.754248540465
Real value: 2718.5 | Predicted value: 2614.103148707445
Real value: 4117.9 | Predicted value: 3875.1191666490595
Real value: 4260.63 | Predicted value: 4279.528060139317
Real value: 5724.7 | Predicted value: 5728.6408322734815
Real value: 4567.91 | Predicted value: 4537.447382036655
Real value: 2445.67 | Predicted value: 2413.908513370813
Real value: 1704.59 | Predicted value: 2038.6726498382807
Real value: 3756.2799999999997 | Predicted value: 3613.561672470896
Real value: 6235.34 | Predicted value: 6205.1073962314995
Real value: 1808.24 | Predicted value: 2147.4054054193784
Real value: 3232.65 | Predicted value: 3073.9749098870966
Real value: 4151.46 | Predicted value: 4141.56767265889
Real value: 3788.2799999999997 | Predicted value: 3726.6902987474714
Real value: 1916.21 | Predicted value: 2120.4450251121316
Real value: 5038.520000000001 | Predicted value: 5186.315452823789
Real value: 2971.63 | Predicted value: 2814.3595841959223
Real value: 2020.14 | Predicted value: 2156.9992290033692
Real value: 2932.27 | Predicted value: 2822.804081583725
Real value: 6351.92 | Predicted value: 6227.965862182233
Real value: 3302.26 | Predicted value: 3148.9992486522706
Real value: 3160.3500000000004 | Predicted value: 3010.752136615478
Real value: 6052.62 | Predicted value: 6088.833599698831
Real value: 5669.320000000001 | Predicted value: 5815.0984395219875
Real value: 7004.26 | Predicted value: 6552.579094050298
Real value: 4212.27 | Predicted value: 4253.724138965745
Real value: 2633.21 | Predicted value: 2568.4261833431474
Real value: 6432.8 | Predicted value: 6281.6463350276645
Real value: 2781.02 | Predicted value: 2659.0178437373443
Real value: 3479.58 | Predicted value: 3326.69025492109
Real value: 5098.97 | Predicted value: 5296.462648954996
Real value: 2614.44 | Predicted value: 2486.5465028634007
Real value: 5899.36 | Predicted value: 5966.462568142526
Real value: 3827.62 | Predicted value: 3750.550002187494
Real value: 6533.29 | Predicted value: 6360.94583288716
Real value: 3860.6399999999994 | Predicted value: 3759.636149171519
Real value: 6180.53 | Predicted value: 6108.087017112836
Real value: 2215.72 | Predicted value: 2268.284495239613
Real value: 5645.89 | Predicted value: 5543.870609962482
Real value: 3630.9799999999996 | Predicted value: 3295.8657401645696
Real value: 4902.93 | Predicted value: 5015.494753435301
Real value: 5791.08 | Predicted value: 5822.843447660241
Real value: 3178.81 | Predicted value: 3018.031418798235
Real value: 5267.49 | Predicted value: 5234.673304037178
Real value: 4157.42 | Predicted value: 4177.227270799212
Real value: 4980.6 | Predicted value: 4998.784829453439
Real value: 3079.6 | Predicted value: 2915.757921800877
Real value: 6756.95 | Predicted value: 6459.299525523779
Error rate: 2.2146763208208924
