Train data: data/Train2.txt
Max epochs: 10000
Execution time: 9.943
Test data: data/Test2.txt
Network{LEARNING_RATE=0.5, nInputNodes=4, nHiddenLayers=4, hiddenLayersSizes=[3, 2, 3, 2]}
Real value: 6514.44 | Predicted value: 4468.205067622753
Real value: 4324.04 | Predicted value: 4321.038032339685
Real value: 4739.220000000001 | Predicted value: 4435.322545295329
Real value: 4095.41 | Predicted value: 4440.850653084973
Real value: 4374.66 | Predicted value: 4355.610154590182
Real value: 4244.6 | Predicted value: 4292.9692162306
Real value: 4437.82 | Predicted value: 4337.345231090625
Real value: 3336.76 | Predicted value: 3346.090284091821
Real value: 3087.1899999999996 | Predicted value: 3058.314229363077
Real value: 4029.3899999999994 | Predicted value: 4065.573021582477
Real value: 2972.79 | Predicted value: 2915.437432651123
Real value: 2684.37 | Predicted value: 2528.386877111673
Real value: 4304.41 | Predicted value: 4297.618953029563
Real value: 2900.22 | Predicted value: 2817.6591619567466
Real value: 4907.970000000001 | Predicted value: 4446.733826941634
Real value: 3594.32 | Predicted value: 3667.153018023919
Real value: 1918.87 | Predicted value: 2071.1701084111714
Real value: 3526.71 | Predicted value: 3525.0727858289156
Real value: 4811.86 | Predicted value: 4437.3021320047155
Real value: 6022.18 | Predicted value: 4468.072759113378
Real value: 4321.12 | Predicted value: 4334.192544271076
Real value: 2448.11 | Predicted value: 2360.1915210110756
Real value: 2061.11 | Predicted value: 2080.41067567735
Real value: 6738.92 | Predicted value: 4468.22223020389
Real value: 4035.79 | Predicted value: 4057.4625173046925
Real value: 4168.76 | Predicted value: 4236.119868946358
Real value: 3619.78 | Predicted value: 3728.0055712394487
Real value: 3877.9299999999994 | Predicted value: 4011.339853306924
Real value: 2073.31 | Predicted value: 2126.3384125909124
Real value: 3331.84 | Predicted value: 3356.8747424076573
Real value: 1978.39 | Predicted value: 2052.311711977648
Real value: 6097.29 | Predicted value: 4468.1124396521
Real value: 2650.41 | Predicted value: 2521.968394508477
Real value: 1802.07 | Predicted value: 2008.8671642509244
Real value: 4835.600000000001 | Predicted value: 4446.312955883405
Real value: 5836.88 | Predicted value: 4467.743441025009
Real value: 3578.6400000000003 | Predicted value: 3683.0828948109106
Real value: 4198.04 | Predicted value: 4246.21823255444
Real value: 4473.85 | Predicted value: 4329.639495728017
Real value: 3007.52 | Predicted value: 2926.154353088773
Real value: 1752.73 | Predicted value: 1971.9952135055778
Real value: 4970.4 | Predicted value: 4456.844082410732
Real value: 1928.37 | Predicted value: 2023.1781577419322
Real value: 3965.92 | Predicted value: 4018.0633125103786
Real value: 6272.01 | Predicted value: 4468.155136645102
Real value: 2768.76 | Predicted value: 2671.5597938452447
Real value: 2368.61 | Predicted value: 2333.6689072527906
Real value: 6986.26 | Predicted value: 4468.235522924542
Real value: 3297.39 | Predicted value: 3273.1168289584175
Real value: 3517.58 | Predicted value: 3623.3771407034264
Real value: 4681.39 | Predicted value: 4406.846455246773
Real value: 5044.92 | Predicted value: 4456.503999731334
Real value: 2565.78 | Predicted value: 2516.7502746523073
Real value: 2997.65 | Predicted value: 2938.5656335499607
Real value: 2824.88 | Predicted value: 2684.371479981144
Real value: 2902.4 | Predicted value: 2861.850542482357
Real value: 6460.56 | Predicted value: 4468.201561830377
Real value: 6389.89 | Predicted value: 4468.191809069515
Real value: 5091.79 | Predicted value: 4458.930015943001
Real value: 2405.69 | Predicted value: 2293.378565672518
Real value: 3446.41 | Predicted value: 3488.420501873506
Real value: 3050.81 | Predicted value: 2991.933068003833
Real value: 5208.36 | Predicted value: 4464.438157295819
Real value: 4241.34 | Predicted value: 4235.631238195077
Real value: 5136.98 | Predicted value: 4461.318267486109
Real value: 4445.09 | Predicted value: 4339.826831431709
Real value: 4989.41 | Predicted value: 4454.122786475236
Real value: 6171.51 | Predicted value: 4468.150116344588
Real value: 5414.450000000001 | Predicted value: 4465.371868612607
Real value: 2111.73 | Predicted value: 2252.5405438800376
Real value: 4110.86 | Predicted value: 4135.965235222216
Real value: 5017.360000000001 | Predicted value: 4454.839187398173
Real value: 3738.51 | Predicted value: 3887.519683054118
Real value: 2413.55 | Predicted value: 2329.0969392532297
Real value: 5436.88 | Predicted value: 4466.291947078517
Real value: 4355.92 | Predicted value: 4300.598045973326
Real value: 2024.51 | Predicted value: 2089.0192671641494
Real value: 3300.12 | Predicted value: 3304.280275154559
Real value: 6245.18 | Predicted value: 4468.162996016566
Real value: 5909.73 | Predicted value: 4468.031141003643
Real value: 2654.46 | Predicted value: 2558.8911142916913
Real value: 2484.96 | Predicted value: 2392.074137573747
Real value: 3672.29 | Predicted value: 3720.8530325150646
Real value: 5621.0 | Predicted value: 4467.4114336978555
Real value: 2107.66 | Predicted value: 2228.88821428299
Real value: 4078.3999999999996 | Predicted value: 4181.876163462968
Real value: 4977.84 | Predicted value: 4452.948661622241
Real value: 5611.23 | Predicted value: 4467.599417978681
Real value: 6094.87 | Predicted value: 4468.095795899187
Real value: 2545.24 | Predicted value: 2425.997237956728
Real value: 3063.55 | Predicted value: 3019.4941607282226
Real value: 2588.19 | Predicted value: 2491.222010570854
Real value: 3819.8199999999997 | Predicted value: 3902.2412025017
Real value: 4260.53 | Predicted value: 4286.4925905864775
Real value: 3979.1499999999996 | Predicted value: 4055.1742177984625
Real value: 4687.82 | Predicted value: 4429.2235064926135
Real value: 3226.05 | Predicted value: 3240.8243991251265
Real value: 1683.63 | Predicted value: 1972.055762682425
Real value: 6011.02 | Predicted value: 4468.007952488686
Real value: 2384.41 | Predicted value: 2304.9446141939598
Error rate: 7.472694034099911
